id,category,query,target_topic,rag_retrieved,hyde_retrieved,rag_hit,hyde_hit,rag_mrr,hyde_mrr,rag_time_sec,hyde_time_sec,rag_tokens,hyde_tokens
1,Colloquialism,What causes the kissing disease?,Infectious Mononucleosis,"Infectious Mononucleosis, Infectious Mononucleosis, Meningococcal Disease","Infectious Mononucleosis, Infectious Mononucleosis, Infectious Mononucleosis",1,1,1.0,1.0,23.39,17.78,825,1641
2,Colloquialism,What are the best remedies for the stomach flu?,Gastroenteritis,"Gastroenteritis, Gastroenteritis, Gastroenteritis","Gastroenteritis, Gastroenteritis, Gastroenteritis",1,1,1.0,1.0,16.39,31.74,1411,1842
3,Colloquialism,Is there a cure for Lou Gehrig's disease?,Amyotrophic Lateral Sclerosis,"Gaucher Disease, Amyotrophic Lateral Sclerosis, Lewy Body Dementia","Amyotrophic Lateral Sclerosis, Degenerative Nerve Diseases, Neuromuscular Disorders",1,1,0.5,1.0,10.31,12.8,1285,1180
4,Colloquialism,How dangerous is water on the brain for a newborn?,Hydrocephalus,"Hydrocephalus, Hydrocephalus, Brain Malformations","Hydrocephalus, Hydrocephalus, Brain Malformations",1,1,1.0,1.0,28.08,22.96,1699,1339
5,Colloquialism,Can stepping on a rusty nail give you lockjaw?,Tetanus,"Nail Diseases, Athlete's Foot, Finger Injuries and Disorders","Temporomandibular Disorders, Temporomandibular Disorders, Tetanus",0,1,0.0,0.3333333333333333,8.67,26.82,1016,1999
6,Colloquialism,"My child woke up with pink eye, is it highly contagious?",Conjunctivitis,"Pink Eye, Eye Infections, Eye Diseases","Pink Eye, Eye Infections, Eye Diseases",0,0,0.0,0.0,9.24,34.99,1034,1705
7,Symptoms,"I have a burning feeling in my chest right after eating a big meal, and sometimes a sour taste in my throat. What is this?",GERD,"GERD, GERD, Esophagus Disorders","GERD, Heartburn, GERD",1,1,1.0,1.0,16.27,27.0,1788,2085
8,Symptoms,"It hurts a lot when I pee, I have to go to the bathroom constantly but only a little comes out, and my lower belly feels heavy.",Urinary Tract Infections,"Interstitial Cystitis, Urinary Tract Infections, Bladder Diseases","Urinary Tract Infections, Chlamydia Infections, Interstitial Cystitis",1,1,0.5,1.0,20.14,25.9,1482,1842
9,Symptoms,"I am thirsty all the time, I am peeing a lot more than usual, and I have been losing weight without even trying.",Diabetes,"Diabetic Heart Disease, Diabetes Type 1, Diabetes","Diabetes Type 1, Diabetes, Diabetes Complications",1,1,0.5,1.0,8.35,20.31,1302,1690
10,Symptoms,"My heart started racing out of nowhere, I was sweating profusely, my chest felt tight, and I felt like I was going to die.",Panic Disorder,"Heart Attack, Heart Failure, Blood Clots","Panic Disorder, Anxiety, Heart Attack",0,1,0.0,1.0,25.63,21.55,2087,1704
11,Symptoms,"I have these dry, scaly, silvery patches of skin on my elbows and knees that itch really badly.",Psoriasis,"Psoriasis, Psoriatic Arthritis, Arthritis","Psoriatic Arthritis, Psoriasis, Scleroderma",1,1,1.0,0.5,10.64,27.87,1328,1699
12,Symptoms,"My skin and the whites of my eyes have suddenly turned yellowish, and my urine is very dark.",Jaundice,"Jaundice, Fatty Liver Disease, Skin Pigmentation Disorders","Jaundice, Fatty Liver Disease, Liver Diseases",1,1,1.0,1.0,13.17,24.13,1284,1602
13,Medical Jargon,What is dyspepsia?,Indigestion,"Autonomic Nervous System Disorders, Diabetes Insipidus, Muscular Dystrophy","Stomach Disorders, Indigestion, GERD",0,1,0.0,0.5,36.24,28.43,2403,1498
14,Medical Jargon,How do I stop epistaxis at home?,Nosebleed,,"Nose Injuries and Disorders, Pulmonary Embolism, Nasal Cancer",0,0,0.0,0.0,37.27,28.51,566,1929
15,Medical Jargon,What are the immediate warning signs of a myocardial infarction?,Heart Attack,"Heart Health Tests, Heart Attack, Atrial Fibrillation","Heart Attack, Chest Pain, Heart Attack",1,1,0.5,1.0,14.25,21.29,1404,1697
16,Medical Jargon,Is the varicella vaccine required for public school?,Chickenpox,,"Chickenpox, Varicela, Childhood Vaccines",0,1,0.0,1.0,60.11,21.79,569,1207
17,Medical Jargon,What kind of mouthguard prevents severe bruxism at night?,Teeth Grinding,"Mouth Disorders, Dry Mouth, Dry Mouth",,0,0,0.0,0.0,9.39,25.8,1900,640
18,Medical Jargon,What antibiotics are used to treat pertussis in toddlers?,Whooping Cough,"Whooping Cough, Medicines and Children, Antibiotics","Whooping Cough, Whooping Cough, Tetanus, Diphtheria, and Pertussis Vaccines",1,1,1.0,1.0,9.64,16.73,1316,1186
19,Medical Jargon,Chronic halitosis despite brushing and flossing regularly,Bad Breath,"Diverticulosis and Diverticulitis, Bad Breath, Chronic Kidney Disease","Bad Breath, Mouth Disorders, Tooth Disorders",1,1,0.5,1.0,16.8,18.91,1645,1513
20,Rare Disease,"A genetic condition where a toddler ages very rapidly, losing hair and getting wrinkled skin by age 2.",Progeria,"Enfermedades de la próstata, Enfermedades de la próstata, Enfermedades de la próstata","Prader-Willi Syndrome, Wilson Disease, Growth Disorders",0,0,0.0,0.0,10.15,34.38,1251,1625
21,Rare Disease,"A condition where the immune system suddenly attacks peripheral nerves, causing ascending paralysis that starts in the legs.",Guillain-Barre Syndrome,"Guillain-Barre Syndrome, Síndrome de Guillain-Barré, Síndrome de Guillain-Barré","Guillain-Barre Syndrome, Síndrome de Guillain-Barré, Myasthenia Gravis",1,1,1.0,1.0,9.86,25.68,1082,1726
22,Rare Disease,"A severe genetic disorder where muscle tissue and connective tissue are gradually replaced by bone, locking the joints.",Fibrodysplasia Ossificans Progressiva,"Osteogénesis imperfecta, Osteogenesis Imperfecta, Osteonecrosis","Osteogenesis Imperfecta, Osteogénesis imperfecta, Osteoarthritis",0,0,0.0,0.0,7.86,31.57,980,1748
23,Rare Disease,"A psychological or nutritional disorder causing a strong, compulsive desire to eat dirt, paint chips, or clay.",Pica,"Picazón, Picazón, Picaduras de arañas","Eating Disorders, Eating Disorders, Prader-Willi Syndrome",1,0,1.0,0.0,12.63,21.47,1327,1725
